yr_fracs,zrs
0.093151,-0.006982
0.257534,-0.003458
0.506849,-0.000344
0.753425,0.002277
1.005480,0.004736
2.010959,0.010624
3.008219,0.012705
4.008219,0.013971
5.008219,0.014903
